"","TLEVISA","WALMEX","SANMEX","PINFRA","PENOLES","ICA","OHLMEX","MEXCHEM","LIVEPOL","LALA","LAB","KOFL","KIMBER","IENOVA","ICH","GRUMA","GMEXICO","GFREGIO","GFNORTE","GFINBUR","GENTERA","GCARSO","FEMSA","GAP","CEMEX","ELEKTRA","BIMBO","ASUR","AMX","ALSEA","AC","ALFA"
"758",95.66,41.77,30.96,224.82,220.39,4.26,27,41.69,200.66,13.56,13.56,146.57,41.75,69.9,65.6,276.42,41.08,98.13,98,35.59,33.97,80.85,169.26,153.99,12.55,336.22,50.58,256.58,13.65,66.8,119.65,33.56
"759",95.98,41.33,30.18,219.61,215.26,4.17,26.41,41.27,199.98,13.58,13.58,143.79,41.75,69.32,63.97,277.55,40.79,97.66,95.79,34.53,33.42,81.1,168.1,155.45,12.45,340.89,49.93,254.61,13.69,65.77,118.11,32.97
"760",93.98,41.5,29.89,212.27,215.47,4.11,25.7,41.33,198.18,13.29,13.29,143.34,41.58,67.97,63.9,279.12,40,96.77,93.65,33.35,32.86,77.61,166.17,156.02,12.45,334.09,49.44,253.53,13.55,65.94,116.86,32.55
"761",93.84,41.08,30.27,213.25,216.02,4.11,25.9,42.46,197.21,13.42,13.42,144.76,41.45,69.48,64.77,277.53,40.1,98.61,96.08,33.54,33.65,80.74,166.16,155.96,12.47,332.75,49.42,255.02,13.47,66.25,117.62,31.83
"762",93.14,40.88,29.42,219.2,214.97,4.07,25.05,41.95,198.03,13.1,13.1,146.86,41.79,68.51,64.36,282.07,38.95,97.24,94.64,33.9,34.8,78.81,164.86,158.32,12.34,326.16,49.31,261.6,13.36,66.88,117.17,32.06
"763",91.32,40.22,29.87,222.09,216.68,4.1,25.3,41.46,197.97,12.86,12.86,144.12,42.09,69.04,64.81,277.73,38.61,98.91,93.36,33.89,33.74,80.2,162.59,162.28,12.36,320.24,49.11,261.56,13.52,66.89,116.99,32.44
"764",91.92,40.63,30.1,214,219.02,4.13,26.03,41.63,195.31,12.8,12.8,143.45,42.88,68.64,64.84,271.56,39.94,99.72,94.05,33.75,33.37,80.71,158.99,161.47,12.46,316.95,49.01,257.73,13.33,66.79,116.12,31.88
"765",91.61,40.8,30.5,219.93,231.71,4.1,27.99,42.27,191.79,13.15,13.15,146,43.27,68.88,65.46,261.97,40.97,99.76,94.13,34.93,33.98,83.27,158.91,156.22,12.59,318.66,49.5,257.3,13.61,67.11,116.77,32.04
"766",92.19,41.25,30.98,219.04,234.74,4.11,28.57,43.18,192.18,13.15,13.15,147.02,43.52,67.99,66.52,260.52,42.01,101.58,94.34,34.62,33.9,83.09,159.59,158.48,12.74,319.56,49.15,258.86,13.73,66.66,117.22,32.02
"767",91.93,41.5,30.59,220.83,236.21,4.06,27.54,43.51,192.94,13.5,13.5,144.98,44.03,67.79,66.84,264.77,42.38,103.57,93.33,35.69,33.99,81.46,159.21,159.46,12.59,321.61,49.28,258.34,13.66,67.11,117.03,32.46
"768",92.16,41.46,30.83,218.98,238.83,4.11,27.27,43.44,192.88,13.6,13.6,147.38,43.98,67.22,67.54,264.37,42.21,101.12,94.1,35.34,34.87,83.96,161.21,158.78,12.84,321.1,49.15,262.98,13.53,67.79,116.91,32.47
"769",90.41,40.84,31.16,214.86,239.27,4.06,26.49,43.11,188.17,13.74,13.74,143.37,43.89,67.76,67.91,258.19,43.07,99.71,93.81,35.07,33.03,80.46,160.26,160.3,12.88,321.44,47.8,255.05,13.1,67.7,112.58,32.34
"770",90.91,41.18,31.53,220.93,246.22,4.01,27.45,44.56,188.05,13.69,13.69,148.99,44.72,68.7,69.22,252.41,43.05,102.62,95.02,35.55,34.54,81.76,163.16,159.16,13,320.87,50.18,257.75,13.61,68,117.43,32.98
"771",91.14,40.81,31.81,217.03,248.23,3.97,27.57,45.82,189.4,13.67,13.67,148.25,44.76,68.76,69.9,246.11,42.24,101.81,95.53,35.5,33.78,81.73,162.68,155.32,13.07,321.04,50.5,256.27,13.55,68.85,118.17,32.98
"772",92.38,40.54,32.13,216.32,252.91,3.76,26.8,43.44,190.24,13.79,13.79,147.85,44.01,67.7,68.63,253.1,41.69,101.68,95.84,34.9,33.33,80.53,163.05,155.16,13.05,321.05,50.62,250.47,13.66,68.38,117.39,31.97
"773",94.55,40.15,32.07,215.89,256.56,3.67,27.13,41.98,190.14,14,14,149.01,43.47,67.56,69.85,249.36,41.49,101.14,95.44,34.74,33.66,80.77,163.83,157.49,13.21,322.41,50.02,251.94,13.62,68.37,117.95,31.92
"774",93.75,39.98,31.87,217.46,258.27,3.56,27.73,42.11,191.08,14.59,14.59,151.02,43.7,68.07,69.62,246.16,41.22,101.19,95.74,34.98,34.41,80.59,163.8,159.6,12.88,321.51,49.95,256.35,13.68,67.06,117.96,32.03
